epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.9335,1.60938,2.74851,1.60207,0.49598,0.25326,0.45368,0.2363,1.95812,2.82285,1.97055,0.000547118,0.000547118,0.000547118
2,54.9103,1.55938,2.09289,1.49833,0.7503,0.59777,0.70058,0.33802,1.61358,1.77527,1.64472,0.00108095,0.00108095,0.00108095
3,76.5253,1.56593,1.90095,1.4921,0.60476,0.77285,0.66672,0.30002,1.76705,2.12932,1.78571,0.00159278,0.00159278,0.00159278
4,97.5918,1.5772,1.70263,1.50158,0.62567,0.6196,0.61484,0.30346,1.75138,1.71497,1.71048,0.00156798,0.00156798,0.00156798
5,118.099,1.52631,1.51099,1.4497,0.36006,0.54036,0.41105,0.19288,1.83646,3.24901,1.70775,0.00153497,0.00153497,0.00153497
6,139.958,1.50315,1.39694,1.43912,0.74989,0.82442,0.80739,0.39302,1.51146,1.19564,1.51572,0.00150197,0.00150197,0.00150197
7,160.89,1.50324,1.29971,1.44034,0.73493,0.81963,0.80116,0.38239,1.64824,1.27643,1.64285,0.00146896,0.00146896,0.00146896
8,180.583,1.46081,1.29345,1.40569,0.67999,0.8096,0.80115,0.37837,1.62147,1.0917,1.62266,0.00143595,0.00143595,0.00143595
9,200.7,1.44703,1.21096,1.38542,0.86669,0.80084,0.90361,0.46044,1.4466,0.89874,1.48618,0.00140295,0.00140295,0.00140295
10,222.286,1.44592,1.18594,1.40542,0.83762,0.80978,0.86446,0.45501,1.40783,0.90594,1.41063,0.00136994,0.00136994,0.00136994
11,246.364,1.4224,1.11931,1.37842,0.76891,0.80276,0.85027,0.45102,1.43028,1.03745,1.42596,0.00133693,0.00133693,0.00133693
12,266.445,1.39992,1.11473,1.36705,0.72101,0.81036,0.74477,0.39798,1.56896,1.02361,1.48596,0.00130393,0.00130393,0.00130393
13,286.779,1.44555,1.09303,1.38415,0.84044,0.83159,0.84721,0.42613,1.4447,0.93558,1.43896,0.00127092,0.00127092,0.00127092
14,307.349,1.38032,1.03968,1.36825,0.63101,0.86565,0.83589,0.44451,1.44126,1.25695,1.43452,0.00123791,0.00123791,0.00123791
15,329.668,1.38874,1.01804,1.34236,0.83333,0.90938,0.8816,0.47582,1.37659,0.86574,1.3655,0.00120491,0.00120491,0.00120491
16,350.281,1.31926,0.98709,1.32338,0.82371,0.82297,0.90137,0.49425,1.36679,0.84027,1.37321,0.0011719,0.0011719,0.0011719
17,370.38,1.34316,0.95538,1.3348,0.91108,0.85386,0.8853,0.49482,1.39905,0.82617,1.37551,0.00113889,0.00113889,0.00113889
18,390.878,1.35358,0.9772,1.328,0.58304,0.92418,0.78434,0.39884,1.52568,1.19852,1.469,0.00110589,0.00110589,0.00110589
19,411.891,1.31336,0.95775,1.29276,0.80967,0.8948,0.894,0.49443,1.28605,0.7435,1.35775,0.00107288,0.00107288,0.00107288
20,434.208,1.3593,0.97273,1.33379,0.88521,0.87689,0.90466,0.4994,1.29854,0.75588,1.37676,0.00103987,0.00103987,0.00103987
21,454.809,1.32306,0.94095,1.30394,0.92843,0.86495,0.92191,0.50714,1.3442,0.78842,1.39255,0.00100687,0.00100687,0.00100687
22,478.379,1.32282,0.91711,1.30947,0.86161,0.88841,0.90666,0.51176,1.34863,0.87645,1.3837,0.000973861,0.000973861,0.000973861
23,499.487,1.30431,0.9018,1.29519,0.89859,0.83333,0.91024,0.49831,1.42708,0.81996,1.40758,0.000940855,0.000940855,0.000940855
24,521.982,1.29516,0.88511,1.27955,0.9203,0.85918,0.92299,0.52698,1.37504,0.74674,1.41182,0.000907848,0.000907848,0.000907848
25,542.495,1.23164,0.8404,1.26381,0.80402,0.82149,0.89039,0.52002,1.30508,0.83524,1.36365,0.000874842,0.000874842,0.000874842
26,562.73,1.2506,0.85427,1.28057,0.89009,0.874,0.91518,0.53578,1.33361,0.75696,1.39112,0.000841835,0.000841835,0.000841835
27,582.77,1.2668,0.87291,1.27283,0.92754,0.91749,0.94292,0.5164,1.29831,0.69366,1.354,0.000808828,0.000808828,0.000808828
28,605.157,1.26584,0.83416,1.2612,0.90666,0.87955,0.91172,0.49983,1.3084,0.75995,1.36948,0.000775822,0.000775822,0.000775822
29,625.834,1.2391,0.83055,1.25926,0.91414,0.89568,0.9172,0.53059,1.29806,0.73404,1.38033,0.000742815,0.000742815,0.000742815
30,645.826,1.23409,0.80709,1.2597,0.86001,0.91345,0.92253,0.51967,1.3666,0.7213,1.36717,0.000709809,0.000709809,0.000709809
31,666.177,1.2215,0.81586,1.24663,0.81191,0.93948,0.92111,0.52127,1.25069,0.78222,1.3549,0.000676802,0.000676802,0.000676802
32,687.881,1.21298,0.78287,1.24039,0.89513,0.88698,0.93193,0.54304,1.29417,0.79603,1.33277,0.000643795,0.000643795,0.000643795
33,711.714,1.17812,0.78363,1.2318,0.87936,0.88421,0.93861,0.50622,1.29582,0.76572,1.35659,0.000610789,0.000610789,0.000610789
34,732.189,1.17773,0.7596,1.22498,0.91687,0.87823,0.91721,0.50239,1.26948,0.78249,1.35234,0.000577782,0.000577782,0.000577782
35,752.221,1.18606,0.78263,1.23137,0.8943,0.90341,0.92662,0.5428,1.36395,0.75788,1.36679,0.000544776,0.000544776,0.000544776
36,772.21,1.19045,0.74243,1.23913,0.93368,0.90253,0.92332,0.53331,1.34591,0.6755,1.38416,0.000511769,0.000511769,0.000511769
37,794.269,1.13737,0.71229,1.20081,0.90426,0.90879,0.94205,0.54139,1.32851,0.72538,1.36899,0.000478762,0.000478762,0.000478762
38,815.187,1.14149,0.72444,1.21955,0.7925,0.94275,0.914,0.51972,1.30828,0.75854,1.35932,0.000445756,0.000445756,0.000445756
39,835.61,1.14284,0.72638,1.2168,0.90648,0.92366,0.93727,0.54638,1.35966,0.65401,1.37617,0.000412749,0.000412749,0.000412749
40,855.882,1.14478,0.73853,1.21421,0.92698,0.87323,0.94166,0.55445,1.31002,0.67157,1.3214,0.000379743,0.000379743,0.000379743
41,879.544,1.07916,0.57042,1.22915,0.91379,0.8948,0.94056,0.55338,1.22722,0.66701,1.30009,0.000346736,0.000346736,0.000346736
42,899.388,1.05942,0.55191,1.21415,0.92504,0.90444,0.93763,0.55262,1.28149,0.64373,1.35474,0.000313729,0.000313729,0.000313729
43,918.691,1.04991,0.54834,1.21824,0.92267,0.90029,0.95252,0.56074,1.27452,0.66866,1.32488,0.000280723,0.000280723,0.000280723
44,939.912,1.01954,0.51126,1.18206,0.94472,0.88883,0.94753,0.56417,1.28961,0.69397,1.31808,0.000247716,0.000247716,0.000247716
45,961.76,0.99944,0.51724,1.17914,0.91571,0.88795,0.94275,0.5601,1.28042,0.71064,1.33532,0.00021471,0.00021471,0.00021471
46,982.841,0.99649,0.51031,1.16538,0.92204,0.94988,0.95625,0.55823,1.27038,0.6386,1.32573,0.000181703,0.000181703,0.000181703
47,1003.76,0.99601,0.50266,1.17202,0.9163,0.91685,0.93987,0.55111,1.31639,0.71311,1.33798,0.000148696,0.000148696,0.000148696
48,1023.49,0.98078,0.50311,1.16306,0.93241,0.91754,0.94984,0.55704,1.26539,0.70506,1.33648,0.00011569,0.00011569,0.00011569
49,1043.5,0.96075,0.48203,1.13652,0.93465,0.92025,0.94784,0.56395,1.25612,0.68946,1.32598,8.26832e-05,8.26832e-05,8.26832e-05
50,1062.94,0.9644,0.48781,1.1543,0.934,0.91971,0.95314,0.57044,1.25316,0.67808,1.32331,4.96766e-05,4.96766e-05,4.96766e-05
